,0,1
0,tt0147800,10 Things I Hate About You
1,tt0103594,1492: Conquest of Paradise
2,tt0179626,15 Minutes
3,tt0062622,2001: A Space Odyssey
4,tt0083511,48 Hrs.
5,tt0119116,The Fifth Element
6,tt0134273,8MM
7,tt0095742,A Nightmare on Elm Street 4: The Dream Master
8,tt0052587,The Atomic Submarine
9,tt0118564,Affliction
10,tt0118571,Air Force One
11,tt0083530,Airplane II: The Sequel
12,tt0080339,Airplane!
13,tt0094631,Alien Nation
14,tt0090605,Aliens
15,tt0086879,Amadeus
16,tt0082010,An American Werewolf in London
17,tt0022626,American Madness
18,tt0244000,American Outlaws
19,tt0144084,American Psycho
20,tt0218817,Antitrust
21,tt0118655,Austin Powers: International Man of Mystery
22,tt0086927,Bachelor Party
23,tt0101393,Backdraft
24,tt0103759,Bad Lieutenant
25,tt0215545,Bamboozled
26,tt0072684,Barry Lyndon
27,tt0264395,Basic
28,tt0319061,Big Fish
29,tt0188453,Birthday Girl
30,tt0462200,Black Snake Moan
31,tt0096933,Black Rain
32,tt0083658,Blade Runner
33,tt0124298,Blast from the Past
34,tt0090756,Blue Velvet
35,tt0144117,The Boondock Saints
36,tt0115734,Bottle Rocket
37,tt0372183,The Bourne Supremacy
38,tt0112573,Braveheart
39,tt0289879,The Butterfly Effect
40,tt0034583,Casablanca
41,tt0162222,Cast Away
42,tt0124315,The Cider House Rules
43,tt0310910,Confidence
44,tt0159382,Croupier
45,tt0069945,Dark Star
46,tt0099817,Dark Angel
47,tt0165710,Detroit Rock City
48,tt0246578,Donnie Darko
49,tt0157503,Drop Dead Gorgeous
50,tt0023969,Duck Soup
51,tt0080678,The Elephant Man
52,tt0097289,Erik the Viking
53,tt0338013,Eternal Sunshine of the Spotless Mind
54,tt0106834,Even Cowgirls Get the Blues
55,tt0119081,Event Horizon
56,tt0120667,Fantastic Four
57,tt0083929,Fast Times at Ridgemont High
58,tt0120669,Fear and Loathing in Las Vegas
59,tt0426459,Feast
60,tt0083967,Frances
61,tt0021884,Frankenstein
62,tt0116367,From Dusk Till Dawn
63,tt0119173,G.I. Jane
64,tt0177789,Galaxy Quest
65,tt0262432,George Washington
66,tt0113161,Get Shorty
67,tt0288477,Ghost Ship
68,tt0162346,Ghost World
69,tt0116409,The Ghost and the Darkness
70,tt0097428,Ghostbusters II
71,tt0087332,Ghostbusters
72,tt0172495,Gladiator
73,tt0061722,The Graduate
74,tt0022958,Grand Hotel
75,tt0099703,The Grifters
76,tt0120694,Halloween H20: 20 Years Later
77,tt0067180,"Happy Birthday, Wanda June"
78,tt0079271,Hardcore
79,tt0067185,Harold and Maude
80,tt0095294,Hellbound: Hellraiser II
81,tt0167190,Hellboy
82,tt0093177,Hellraiser
83,tt0146882,High Fidelity
84,tt0091203,Highlander
85,tt0032599,His Girl Friday
86,tt0093209,Hope and Glory
87,tt0251736,House of 1000 Corpses
88,tt0219822,Human Nature
89,tt0054997,The Hustler
90,tt0480249,I Am Legend
91,tt0116629,Independence Day
92,tt0097576,Indiana Jones and the Last Crusade
93,tt0087469,Indiana Jones and the Temple of Doom
94,tt0093260,Innerspace
95,tt0140352,The Insider
96,tt0138524,Intolerable Cruelty
97,tt0025316,It Happened One Night
98,tt0102138,JFK
99,tt0119396,Jackie Brown
100,tt0099871,Jacob's Ladder
101,tt0211443,Jason X
102,tt0073195,Jaws
103,tt0467406,Juno
104,tt0107302,Kalifornia
105,tt0113540,Kids
106,tt0104627,Knight Moves
107,tt0085811,Krull
108,tt0264804,Lon Chaney: A Thousand Faces
109,tt0159519,Labor of Love
110,tt0113627,Leaving Las Vegas
111,tt0250494,Legally Blonde
112,tt0264796,Life as a House
113,tt0289992,The Life of David Gale
114,tt0185431,Little Nicky
115,tt0074812,Logan's Run
116,tt0116922,Lost Highway
117,tt0029162,Lost Horizon
118,tt0119654,Men in Black
119,tt0181689,Minority Report
120,tt0227005,Made
121,tt0104797,Malcolm X
