Character,Agreeableness,Extraversion,Conscientiousness,Neuroticism,Openness to Experience
The_Waif,-0.85,0.04,0.26,-0.85,0.06
Eddard_Stark,-0.05,-0.24,0.8,-0.36,-0.27
Petyr_Baelish,-0.29,0.14,0.28,-0.55,0.59
Tywin_Lannister,-0.45,0.16,0.89,-0.63,0.35
Joffrey_Baratheon,-0.72,0.29,-0.53,0.6,-0.39
Euron_Greyjoy,-0.85,0.35,-0.43,0.04,0.25
Rhaegar_Targaryen,0.3,-0.02,-0.06,-0.66,0.64
Renly_Baratheon,0.74,0.52,-0.13,-0.21,0.25
Qyburn,-0.34,-0.23,0.36,-0.08,0.57
Tormund,0.09,0.46,-0.16,-0.16,-0.07
Lord_Varys,-0.6,-0.42,0.35,-0.53,0.5
Jon_Snow,0.14,-0.57,0.72,0.24,0.22
Olenna_Tyrell,0.01,0.32,0.62,-0.21,0.87
Catelyn_Stark,0.34,0.14,0.48,0.24,-0.03
Jaime_Lannister,0.02,0.43,0.15,0.02,0.24
Alliser_Thorne,-0.69,-0.28,0.27,0.09,-0.52
Maester_Luwin,0.69,-0.48,0.87,-0.53,0.35
Meryn_Trant,-0.82,-0.19,-0.09,0.06,-0.27
Bran_Stark,0.85,-0.27,0,-0.58,0.94
Shae,0.38,0.64,-0.18,0.37,-0.2
Bronn,0.17,0.52,-0.44,0.32,0.29
Lancel_Lannister,0.05,-0.06,-0.19,0.48,-0.19
Janos_Slynt,-0.49,-0.38,-0.28,-0.04,-0.21
Ellaria_Sand,-0.03,0.81,-0.03,0.62,0.26
Hodor,0.48,-0.77,0.32,-0.34,-0.29
Tyrion_Lannister,0.21,0.24,0.65,-0.38,0.77
Kevan_Lannister,-0.17,-0.08,0.57,-0.49,0.21
Edmure_Tully,0.18,0.68,-0.14,0.25,-0.18
Samwell_Tarly,0.47,-0.52,0.69,-0.25,0.79
Stannis_Baratheon,-0.65,-0.22,0.62,-0.28,-0.36
Robb_Stark,0.34,0.66,0.31,0.18,0.37
Viserys_Targaryen,-0.41,0.37,-0.51,0.55,-0.55
Tommen_Baratheon,0.84,0.34,0.16,-0.03,-0.21
Lyanna_Mormont,-0.26,-0.21,0.86,-0.21,0.51
Daenerys_Targaryen,0.16,0.32,0.43,-0.25,0.52
Cersei_Lannister,-0.36,0.35,0.33,0.45,-0.17
Rast,-0.67,0,-0.23,0.35,-0.35
Lyanna_Stark,0.23,0.78,0.18,0.28,0.63
Barristan_Selmy,0.06,0.08,0.69,-0.64,0.22
Davos_Seaworth,0.28,0.33,0.76,-0.38,0.04
Margaery_Tyrell,0.67,0.92,0.36,-0.35,0.55
Gendry,0.56,0.48,0.48,-0.08,0.14
Maester_Aemon,0.89,0.22,0.88,-0.33,0.94
Arya_Stark,0.04,-0.34,0.16,-0.22,0.72
Theon_Greyjoy,0.17,-0.04,0.18,0.58,-0.18
Sansa_Stark,0.74,-0.06,0.49,-0.16,0.04
Yara_Greyjoy,-0.09,0.5,0.38,-0.03,0.59
Roose_Bolton,-0.63,-0.11,0.65,-0.18,0.53
Sandor_Clegane,-0.46,-0.39,0.37,0.59,-0.28
Loras_Tyrell,0.54,0.82,-0.02,0.27,0.1
Ramsay_Bolton,-0.93,0.01,0.16,-0.34,0.59
Brienne_of_Tarth,0.25,-0.47,0.69,-0.29,-0.12
Melisandre,0.86,0.32,0.49,-0.47,0.39
Jorah_Mormont,0.22,-0.37,0.37,-0.2,-0.14
Myrcella_Baratheon,0.93,0.51,0.17,0.06,0.17
Robert_Baratheon,-0.14,0.42,-0.41,0.42,-0.12
