Character,Agreeableness,Extraversion,Conscientiousness,Neuroticism,Openness to Experience
Iron_Man,-0.08,0.51,0.46,-0.22,0.51
Karen_Page,0.03,0.88,0.5,-0.56,0.38
Groot,0.22,0.02,0.4,0.11,0.19
Claire_Temple,0.95,-0.6,0.93,0.3,0.55
Mockingbird,1.0,0.81,0.44,0.13,0.04
Ultron,-0.6,-0.68,0.37,0.02,0.11
Obadiah_Stane,1.0,0.79,0.35,0.53,0.53
Loki,-0.26,0.46,0.03,0.08,-0.21
Black_Widow,-0.02,0.36,0.66,-0.2,0.56
Black_Panther,0.98,-0.12,1.0,-0.03,0.06
Daredevil,-0.12,-0.6,0.55,0.0,0.36
Nick_Fury,0.12,1.0,0.74,-0.5,0.44
Vision,1.0,-0.39,1.0,-0.49,0.56
Agent_33,-1.0,0.58,0.35,-0.15,0.2
Abomination,-0.78,1.0,0.35,0.09,0.88
Howard_Stark,-0.05,-0.58,0.68,0.16,1.0
Arnim_Zola,1.0,-1.0,-0.88,1.0,-0.29
Spider-Man,0.57,0.83,0.6,-0.53,0.43
Nebula,0.64,0.88,0.15,0.84,0.96
Pepper_Potts,0.34,0.04,1.0,-0.44,1.0
Malekith,-1.0,0.53,0.06,-0.41,-0.94
Hawkeye,0.21,0.5,0.45,-0.29,0.31
Deathlok,-0.21,0.19,0.39,0.64,0.66
Scarlet_Witch,0.7,0.4,0.45,0.25,0.67
The_Other,-0.67,1.0,0.97,-0.7,-0.61
Hulk,0.65,-0.14,0.4,0.12,0.81
Thanos,-0.83,0.24,0.38,-0.09,0.15
Phil_Coulson,0.8,0.37,0.98,-0.35,-0.03
Falcon,1.0,1.0,0.12,-0.08,0.5
Maria_Hill,0.5,-0.2,1.0,-0.36,0.16
Peggy_Carter,1.0,0.21,0.36,-0.04,0.84
Sif,-0.53,-0.41,-0.35,1.0,-0.58
Quicksilver,0.83,0.56,0.25,0.23,0.69
Thunderbolt_Ross,-1.0,0.35,-0.91,-0.5,0.82
Lance_Hunter,0.38,0.26,0.12,0.38,0.67
Quake,0.71,0.41,0.4,0.21,0.35
Collector,-0.64,-0.7,-0.29,0.94,-0.35
Leo_Fitz,-0.63,0.17,0.59,0.04,0.15
Melinda_May,0.85,-1.0,0.31,0.0,0.24
Carol_Danvers,-0.12,0.98,-0.21,-0.14,0.85
Kingpin,-0.23,-0.24,0.15,0.27,0.32
Alexander_Pierce,-0.86,0.31,0.06,-0.25,-0.35
Red_Skull,-0.88,-0.15,0.04,0.11,-0.29
Foggy_Nelson,0.91,0.63,0.93,-0.23,0.31
Heimdall,1.0,0.35,0.76,-0.18,0.53
Klaw,-1.0,0.41,0.18,0.22,0.58
War_Machine,0.42,1.0,0.64,-0.6,0.11
Odin,0.34,-0.03,0.89,-0.13,0.33
Captain_America,0.55,0.01,0.69,0.02,-0.13
Jemma_Simmons,-0.76,0.2,0.18,-0.35,1.0
Star-Lord,0.45,1.0,0.12,-0.12,0.31
Wasp,-0.13,0.07,0.22,-0.03,0.72
Ant-Man,0.0,-0.06,0.64,0.61,0.09
Doctor_Strange,0.12,0.37,0.33,-0.11,0.55
Thor,-0.13,0.58,0.03,0.0,-0.14
Gamora,-0.27,0.38,0.45,-0.06,0.45
Grant_Ward,0.6,1.0,0.58,0.21,-0.16
Sharon_Carter,1.0,-0.53,1.0,-0.12,-0.12
Drax_the_Destroyer,0.79,0.18,0.53,0.6,0.22
Rocket_Raccoon,-0.08,0.25,0.12,0.53,0.86
Happy_Hogan,-1.0,-0.67,0.47,0.12,0.67
Jane_Foster,0.29,0.39,0.01,-0.78,1.0
Bucky_Barnes,0.6,-0.51,0.4,0.31,0.59
