Character,Agreeableness,Extraversion,Conscientiousness,Neuroticism,Openness to Experience
Mace_Windu,0.06,0.42,0.57,0.31,0.92
Chewbacca,0.74,-0.09,0.39,-0.38,0.67
Orson_Krennic,-0.57,0.83,-0.29,0.54,0.82
Darth_Vader,-0.83,0.07,0.26,0.19,-0.12
Qi'ra,0.0,-0.58,-0.23,0.82,1.0
Yoda,0.43,-0.32,0.92,-0.44,0.86
Qui-Gon_Jinn,1.0,1.0,0.09,0.13,0.84
Cassian_Andor,-0.26,-0.58,0.97,-0.84,0.5
Asajj_Ventress,0.26,0.18,-0.79,0.29,0.67
Wedge_Antilles,0.12,1.0,0.6,-0.57,0.18
Kylo_Ren,-0.44,-0.31,-0.03,0.61,0.19
Lando_Calrissian,0.04,1.0,-0.28,0.08,0.48
Finn,0.83,0.46,0.06,-0.35,-0.05
Poe_Dameron,0.1,1.0,-0.32,-0.26,0.54
Grand_Admiral_Thrawn,-0.52,-0.12,0.83,-0.34,0.41
Captain_Phasma,-0.69,0.19,0.63,0.19,-0.11
Padmé_Amidala,1.0,0.41,0.37,-0.42,0.55
Rose_Tico,0.96,0.04,0.52,-0.48,0.38
Grand_Moff_Tarkin,0.79,0.22,0.83,-0.28,-0.18
Saw_Gerrera,-1.0,0.8,-0.19,0.18,-0.3
Jyn_Erso,0.27,0.03,0.24,-0.29,0.52
Palpatine,-0.82,-0.26,0.36,0.18,0.22
Admiral_Piett,-1.0,-0.2,-0.1,0.07,0.15
Luke_Skywalker,0.54,-0.16,0.16,-0.22,0.77
Nien_Nunb,0.03,0.97,0.0,-0.23,0.47
Ahsoka_Tano,0.52,0.76,0.34,0.04,0.28
Princess_Leia,0.08,1.0,0.83,-0.72,0.86
Iden_Versio,-0.01,0.07,0.22,0.44,0.1
C-3PO,1.0,-0.52,0.6,0.43,-0.59
Bail_Organa,1.0,-0.55,0.51,0.12,0.62
R2-D2,0.19,0.93,-0.25,-0.23,0.69
Rey,0.18,-0.03,-0.03,-0.15,0.66
General_Hux,-0.7,-0.06,0.47,0.09,-0.38
Obi-Wan_Kenobi,0.63,-0.37,0.7,-0.16,0.68
Darth_Maul,-1.0,-0.2,-0.18,0.82,-0.61
Han_Solo,0.08,0.74,0.02,-0.44,0.55
Jango_Fett,1.0,-0.47,1.0,-0.06,0.29
